Wood No	x	y	z	Site Code	Area Code	Grid E	Grid N	Same as	Context	Layer etc	Context notes	Sampled for ID	Ring Count	Taxa	Taxa notes	Growing in situ?	Wood type	Notes on wood type	Coppicing evidence	Coppicing notes	Tool marks	Tool marks on ends	Tool marks on other faces	Tool marks notes	Bark alone?	Damage	Damage notes	Bark / Sapwood / Heartwood	Preservation Code	Woodworking evidence	Woodwork type	Woodchip	WC Type	Woodworking notes	Split	Hewn	Trimmed	Beavered	Hole	Snapped	Torn	Split type	Charred	Lightly	Charring notes	Wear evidence	Wear notes	Function?	FunctionDesc	FunctionAssign	Function notes	Length (mm)	Max breadth	Min breadth	Max thickness	Min thickness	Diameter distorted	Long axis	Short axis	Dia (not distorted)	Original dia	Nature of association	Associated wood	Associated items	Entered by	Date entered
116929	502795.60632	481003.67126	23.476392	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RW	brushwood	N		N				N	Modern	ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				100					Y	30	23						MB	300916
116930	502795.56795	481003.75672	23.494418	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Rad 1/4 (mod)	N			N		N				220	82		35		N				>120				MB	300916
116932	502795.07946	481003.30009	23.465232	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	None		H	3	Y	SP	0			1	0	0	0	0	0	0	Rad	Y	Moderate	One Face	N		N				340	21		9		N								MB	300916
116933	502795.0628	481003.42799	23.456909	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	SH	3	Y	SP	0			1	0	0	0	0	0	0	Tan outer	N			N		N				220	30		6		N								MB	300916
116936	502795.91935	481002.76663	23.425172	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	2	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		Y	Woodworking debris?			85	43		12		N								MB	031016
116937	502795.50185	481002.35906	23.379468	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RW		N		N				N	Modern	ends degraded	SH	3	N		0			0	0	0	0	0	0	0		N			N		N				65					Y	42	23						MB	031016
116939	502794.9369	481003.56584	23.452402	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	RWDEB		N		N				N	Modern	ends degraded	BSH	4	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	N			N		N				90	23		10		N								MB	300916
116940	#N/A	#N/A	#N/A	SC15	TR34	ZW	20		317		Clark - Bone Bed - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	H	3	Y	SP	0			1	0	0	0	0	0	0	Tan	N			N		N				245	61		20		N								MB	300916
117151	502794.3432	480998.1092	23.6558	SC15	TR34	ZV	15		312		Clark	N				N	TIM		N		N				N	Modern	ends degraded	SH	2	Y	SP	0		Split face up	1	0	0	0	0	0	0	Tan outer	N			N		N				650	180		30		N								MB	120615
117152	502793.4093	480998.49	23.3997	SC15	TR34	ZV	15		312		Clark - NO 3D	Y - A		Frangula alnus Mill.	SA	N	ART		N		N				N	Ancient	Shaft end broken in antiquity (excavated and confirmed by HR)	SH	4	Y	TR HE	0		Chamfered handle, broken where roundwood shaft emerges	0	1	1	0	0	0	0		N			Y	Handle looks worn and exposed	Y	Utilised Roundwood	Digging Stick	Handle - knob end	82					Y	29	18						MB	120615
117153	502794.3404	480995.919	23.5023	SC15	TR34	ZV	12		312		Clark	N				N	TIM		N		N				N	Ancient	1 end broken, prob in antiquity	H	4	Y	SP	0			1	0	0	0	0	0	0	Rad 1/2	Y	Charred through	One end	N		Y	Charred, broken structural element?			735	165		100		N								MB	120615
117154	502794.3258	480996.2446	23.5124	SC15	TR34	ZU	13		317		Clark - 12/06/15	N				N	DEB		N		N				N	Modern	ends degraded	SH	4	Y	SP GS	0		lenticular	1	0	0	0	0	0	0	Tan	N			N		N				245	57		29		N								MB	110915
117155	502794.9466	480996.4372	23.2677	SC15	TR34	ZV	12		312		Clark	N				N	TIM		N		N				N	None		H	3	Y	SP	0			1	0	0	0	0	0	0	Tan?	Y	Moderate	Underside	N		N				525	230		75		N								MB	120615
